split,class_label,record_id,chunk_id,chunk_file,sample_rate,window_sec,window_samples,start_sample,end_sample,original_split,original_chunk_file,source_mem_file,dataset_source,source_db,record_total_samples,settling_skip_samples,dropped_tail_samples,balanced_index,notes,start_sec,end_sec,native_fs,beat_count,normal_beat_count,abnormal_beat_count,abnormal_beat_ratio,rbbb_count,pvc_count,pac_sv_count,fusion_paced_unknown_count,afib_afl_overlap_sec,afib_afl_ratio,rhythm_labels,annotation_symbols,annotation_valid,annotation_weak,exclusion_reason,beat_annotation_file,rhythm_annotation_file
train,NSR,16265,2847,train/NSR/16265/16265_w02847.mem,1000,30,30000,85412000,85441999,train,train/NSR/16265/16265_w02847.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,172,,85412.000,85442.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
val,NSR,16265,2864,val/NSR/16265/16265_w02864.mem,1000,30,30000,85922000,85951999,train,train/NSR/16265/16265_w02864.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,173,,85922.000,85952.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2880,train/NSR/16265/16265_w02880.mem,1000,30,30000,86402000,86431999,train,train/NSR/16265/16265_w02880.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,174,,86402.000,86432.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
test,NSR,16265,2897,test/NSR/16265/16265_w02897.mem,1000,30,30000,86912000,86941999,train,train/NSR/16265/16265_w02897.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,175,,86912.000,86942.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2913,train/NSR/16265/16265_w02913.mem,1000,30,30000,87392000,87421999,train,train/NSR/16265/16265_w02913.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,176,,87392.000,87422.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
val,NSR,16265,2930,val/NSR/16265/16265_w02930.mem,1000,30,30000,87902000,87931999,train,train/NSR/16265/16265_w02930.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,177,,87902.000,87932.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2946,train/NSR/16265/16265_w02946.mem,1000,30,30000,88382000,88411999,train,train/NSR/16265/16265_w02946.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,178,,88382.000,88412.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
test,NSR,16265,2963,test/NSR/16265/16265_w02963.mem,1000,30,30000,88892000,88921999,train,train/NSR/16265/16265_w02963.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,179,,88892.000,88922.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,2979,train/NSR/16265/16265_w02979.mem,1000,30,30000,89372000,89401999,train,train/NSR/16265/16265_w02979.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,180,,89372.000,89402.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
val,NSR,16265,2996,val/NSR/16265/16265_w02996.mem,1000,30,30000,89882000,89911999,train,train/NSR/16265/16265_w02996.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,181,,89882.000,89912.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16265,3012,train/NSR/16265/16265_w03012.mem,1000,30,30000,90362000,90391999,train,train/NSR/16265/16265_w03012.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,182,,90362.000,90392.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
test,NSR,16265,3029,test/NSR/16265/16265_w03029.mem,1000,30,30000,90872000,90901999,train,train/NSR/16265/16265_w03029.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,183,,90872.000,90902.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
val,NSR,16265,3045,val/NSR/16265/16265_w03045.mem,1000,30,30000,91352000,91381999,train,train/NSR/16265/16265_w03045.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\train\NSR\16265.mem,fullrec_afe,nsrdb,91648000,2000,26000,184,,91352.000,91382.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16265.atr
train,NSR,16272,786,train/NSR/16272/16272_w00786.mem,1000,30,30000,23582000,23611999,test,test/NSR/16272/16272_w00786.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,233,,23582.000,23612.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
test,NSR,16272,834,test/NSR/16272/16272_w00834.mem,1000,30,30000,25022000,25051999,test,test/NSR/16272/16272_w00834.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,236,,25022.000,25052.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
train,NSR,16272,851,train/NSR/16272/16272_w00851.mem,1000,30,30000,25532000,25561999,test,test/NSR/16272/16272_w00851.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,237,,25532.000,25562.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
val,NSR,16272,867,val/NSR/16272/16272_w00867.mem,1000,30,30000,26012000,26041999,test,test/NSR/16272/16272_w00867.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,238,,26012.000,26042.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
train,NSR,16272,883,train/NSR/16272/16272_w00883.mem,1000,30,30000,26492000,26521999,test,test/NSR/16272/16272_w00883.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,239,,26492.000,26522.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
test,NSR,16272,899,test/NSR/16272/16272_w00899.mem,1000,30,30000,26972000,27001999,test,test/NSR/16272/16272_w00899.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,240,,26972.000,27002.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
train,NSR,16272,915,train/NSR/16272/16272_w00915.mem,1000,30,30000,27452000,27481999,test,test/NSR/16272/16272_w00915.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,241,,27452.000,27482.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
val,NSR,16272,932,val/NSR/16272/16272_w00932.mem,1000,30,30000,27962000,27991999,test,test/NSR/16272/16272_w00932.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,242,,27962.000,27992.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
train,NSR,16272,948,train/NSR/16272/16272_w00948.mem,1000,30,30000,28442000,28471999,test,test/NSR/16272/16272_w00948.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,243,,28442.000,28472.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
test,NSR,16272,964,test/NSR/16272/16272_w00964.mem,1000,30,30000,28922000,28951999,test,test/NSR/16272/16272_w00964.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,244,,28922.000,28952.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
train,NSR,16272,980,train/NSR/16272/16272_w00980.mem,1000,30,30000,29402000,29431999,test,test/NSR/16272/16272_w00980.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,245,,29402.000,29432.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
val,NSR,16272,996,val/NSR/16272/16272_w00996.mem,1000,30,30000,29882000,29911999,test,test/NSR/16272/16272_w00996.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,246,,29882.000,29912.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
train,NSR,16272,1013,train/NSR/16272/16272_w01013.mem,1000,30,30000,30392000,30421999,test,test/NSR/16272/16272_w01013.mem,C:\Users\YangGeon\SNN_ECG_RESTORE_MODEL_S\fullrec_afe\test\NSR\16272.mem,fullrec_afe,nsrdb,90000000,2000,28000,247,,30392.000,30422.000,128.0,0,0,0,0.000000,0,0,0,0,0.000,0.000000,,,0,0,low_beat_count,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr,C:\Users\YangGeon\Desktop\작업물\학업\한양대학교 문서\스펙\대회 관련\2026 전국 반도체 설계대전\ECG Data Real\nsrdb\1.0.0\16272.atr
