case_id,split,class_label,class_id,record_id,chunk_id,balanced_index,chunk_file,chunk_start_sample,chunk_end_sample,snapshot_id,snapshot_start_sample,snapshot_end_sample,snapshot_start_sec,snapshot_end_sec,source_db,snapshot_pred_class,pred_class,snapshot_pred_label,pred_label,pred_valid,class_mem_NSR,class_mem_CHF,class_mem_ARR,class_mem_AFF,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,ectopic_pair_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,strong_event_count,adaptive_event_th,pnn_decision_count,pnn_mismatch_rate_bp,rdm_avg_code_q8,ram_avg_code_q8,qrs_maf_rate_bp,rbbb_like_rate_bp,abnormal_evidence_count,rhythm_irregular_evidence_count,morphology_evidence_count,old_case_id,old_balanced_split
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,10,2402000,2461999,2402.000,2462.000,afdb,3,3,AFF,AFF,1,-165132559,-77759967,-30058537,67406984,103,46,55,16,520,347,46,101,1047,94,89,87,85,80,77,72,67,65,61,59,55,55,53,48,11,103,61,396,57,0,7,8143,8,675,161,20,28,20,0,0,103,0,0,103,35,11,101,55,101,1047,3844,8,101,5445,2653,1931,5922,1242,291,146,145,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,11,2462000,2521999,2462.000,2522.000,afdb,3,3,AFF,AFF,1,-150731281,-56057747,4165150,9625028,96,47,47,85,3211,338,47,94,913,92,86,81,78,72,64,60,54,52,50,49,46,44,43,42,21,96,37,392,26,0,15,8268,81,1117,165,34,46,34,0,0,96,0,0,96,34,21,94,47,94,913,6500,6,94,5000,2486,1841,3854,2060,252,140,112,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,12,2522000,2581999,2522.000,2582.000,afdb,3,3,AFF,AFF,1,-199894670,-49540607,-54952266,101016936,131,70,59,139,5984,794,69,129,1207,124,112,104,97,86,82,80,77,73,72,69,63,60,57,51,18,130,77,1332,57,0,41,11740,128,2195,174,36,46,36,0,0,130,0,0,130,45,18,129,59,129,1207,10016,5,129,4573,2395,2945,5877,2068,374,163,211,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,13,2582000,2641999,2582.000,2642.000,afdb,3,3,AFF,AFF,1,-148371431,-44487970,-10591659,14924409,70,27,41,140,5748,324,27,68,762,66,65,60,59,57,54,51,51,50,48,45,42,41,39,34,7,70,18,456,6,0,16,2907,129,1426,185,45,56,45,0,0,70,0,0,70,12,7,68,41,68,762,1724,20,68,6029,2868,3072,2571,2432,190,105,85,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,14,2642000,2701999,2642.000,2702.000,afdb,3,3,AFF,AFF,1,-121904175,-30193455,-64322390,24115536,95,42,51,3,33,337,43,93,873,82,76,70,66,62,59,59,58,58,55,53,48,45,42,40,12,95,36,329,21,0,30,7834,2,730,135,11,19,11,0,0,95,0,0,95,15,12,93,51,93,873,5546,5,93,5483,2403,2006,3789,814,223,125,98,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,15,2702000,2761999,2702.000,2762.000,afdb,2,2,ARR,ARR,1,-122046629,-64688431,15588525,-27568545,84,20,62,0,43,135,20,82,1018,79,76,74,71,69,69,69,69,67,67,66,64,62,59,57,26,84,25,266,15,0,14,5049,0,609,108,1,1,1,0,0,84,0,0,84,30,26,82,62,82,1018,3045,6,82,7560,3178,1728,2976,92,212,157,55,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,16,2762000,2821999,2762.000,2822.000,afdb,3,3,AFF,AFF,1,-150857946,-75621492,-12791741,36914453,95,30,63,4,129,225,30,93,1091,92,89,82,79,77,76,73,70,70,69,65,64,64,62,59,18,95,26,281,20,0,11,6928,3,634,105,3,4,3,0,0,95,0,0,95,39,18,93,63,93,1091,5263,4,93,6774,3003,1920,2736,285,218,158,60,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,17,2822000,2881999,2822.000,2882.000,afdb,3,3,AFF,AFF,1,-116037801,-66333053,-31510720,16791360,86,30,54,7,267,240,31,84,991,82,81,78,76,74,72,70,66,64,61,57,55,54,51,50,21,86,31,292,22,0,15,3776,4,710,114,1,1,1,0,0,86,0,0,86,20,21,84,54,84,991,1807,8,84,6428,3020,1981,3604,87,218,149,69,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,18,2882000,2941999,2882.000,2942.000,afdb,2,2,ARR,ARR,1,-132213054,-23126740,-658590,-36562103,83,25,56,4,678,215,25,81,992,80,78,76,75,72,71,71,67,65,64,61,60,56,49,47,26,83,32,396,7,0,28,2814,4,871,147,1,2,1,0,0,83,0,0,83,24,26,81,56,81,992,2069,8,81,6913,3135,2201,3855,68,222,154,68,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,19,2942000,3001999,2942.000,3002.000,afdb,3,3,AFF,AFF,1,-186374661,-56718154,-49816597,72185191,165,125,38,36,727,1193,124,163,889,116,101,90,76,69,62,54,48,45,41,39,39,37,36,36,8,164,136,1053,135,0,23,23325,26,1238,257,39,55,39,0,0,164,0,0,164,16,8,162,38,163,889,10676,6,163,2331,1396,2462,8242,1517,448,115,333,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,20,3002000,3061999,3002.000,3062.000,afdb,3,3,AFF,AFF,1,-174966605,-80331057,-12743423,62749111,129,83,44,16,627,1097,83,127,1064,121,107,92,89,83,80,74,68,64,59,53,48,44,42,40,15,129,85,786,80,0,28,10750,12,1109,244,24,33,24,0,0,129,0,0,129,30,15,127,44,127,1064,4005,10,127,3464,2144,3383,6589,983,359,142,217,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,21,3062000,3121999,3062.000,3122.000,afdb,3,3,AFF,AFF,1,-184292645,-90900035,-39919035,95603443,166,137,27,130,1800,1634,137,164,757,113,90,77,67,60,54,45,38,36,35,32,31,28,26,25,11,166,156,1413,146,2,34,23937,91,1499,249,79,92,79,1,1,166,0,0,166,35,11,164,27,164,757,13329,8,164,1646,1181,3053,9397,3172,515,98,417,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,22,3122000,3181999,3122.000,3182.000,afdb,3,3,AFF,AFF,1,-158352910,-52016521,-63698857,73700992,127,79,46,92,1710,1104,79,125,906,89,83,78,74,70,65,62,58,56,51,49,45,43,43,40,10,127,91,1123,81,1,36,15357,66,1451,178,38,46,38,0,0,127,0,0,127,34,10,125,46,125,906,10417,6,125,3680,1855,3577,7165,2134,373,126,247,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,23,3182000,3241999,3182.000,3242.000,afdb,3,3,AFF,AFF,1,-148262490,-55729574,-61856697,55116028,159,122,35,110,1820,1865,122,157,893,120,101,90,75,66,61,54,51,51,49,44,36,36,31,28,11,159,138,1615,124,3,54,21280,79,1778,206,31,43,31,0,0,159,0,0,159,38,11,157,35,157,893,14953,4,157,2229,1456,3913,8679,1504,462,112,350,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,24,3242000,3301999,3242.000,3302.000,afdb,2,2,ARR,ARR,1,-172608478,-56630304,18677217,15872662,97,43,52,40,2208,538,42,95,939,89,83,74,73,67,65,63,56,56,55,53,53,53,50,49,16,97,38,529,22,0,23,5083,37,1248,151,12,42,12,0,0,97,0,0,97,20,16,95,52,95,939,2995,10,95,5473,2530,3279,3917,794,230,135,95,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,25,3302000,3361999,3302.000,3362.000,afdb,2,2,ARR,ARR,1,-157369525,-24918282,1000354,-13949260,88,31,55,12,1004,194,32,86,1005,80,78,76,74,72,72,71,70,66,66,63,59,58,51,49,26,88,24,306,11,0,17,4573,11,910,144,5,19,5,0,0,88,0,0,88,32,26,86,55,86,1005,2833,8,86,6395,2991,1552,2727,347,210,153,57,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,26,3362000,3421999,3362.000,3422.000,afdb,3,3,AFF,AFF,1,-153361269,-56468475,-53809561,61865124,100,39,59,10,308,229,39,98,1068,95,92,86,78,77,75,75,73,68,65,65,61,56,52,50,16,100,45,396,38,0,12,4735,4,764,158,7,9,7,0,0,100,0,0,100,23,16,98,59,98,1068,2781,8,98,6020,2789,1503,4500,443,254,152,102,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,27,3422000,3481999,3422.000,3482.000,afdb,3,3,AFF,AFF,1,-186627105,-40579874,-40956042,62384207,137,86,49,42,1634,868,86,135,1104,121,113,105,95,86,78,72,65,60,59,54,54,51,46,45,13,137,90,1067,73,0,43,14581,36,1574,175,10,22,10,0,0,137,0,0,137,41,13,135,49,135,1104,9019,4,135,3629,2093,2583,6569,571,364,148,216,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,28,3482000,3541999,3482.000,3542.000,afdb,3,3,AFF,AFF,1,-163929150,-41917510,-45832088,54136369,116,67,47,141,4075,660,67,114,1000,104,100,92,81,77,72,68,63,57,53,50,49,46,45,43,11,116,51,802,37,0,26,10202,127,1686,200,26,63,26,0,0,116,0,0,116,42,11,114,47,114,1000,5506,10,114,4122,2245,2521,4396,1300,275,135,140,102,train
36,train,AFF,3,06426,1,0,train/AFF/06426/06426_30min_w001.mem,1802000,3601999,29,3542000,3601999,3542.000,3602.000,afdb,3,3,AFF,AFF,1,-150253022,-65018829,-36705133,48578787,138,105,31,247,6460,1452,105,136,852,118,101,91,82,71,59,50,44,40,39,36,33,33,28,27,6,138,91,1458,81,2,40,13177,190,2152,253,66,90,66,0,0,138,0,0,138,12,6,136,31,136,852,6166,16,136,2279,1603,3540,6594,2608,388,108,280,102,train
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,0,5402000,5461999,5402.000,5462.000,afdb,3,3,AFF,AFF,1,-85471160,-87332165,-38902879,23507037,57,25,30,200,3742,225,25,55,556,47,46,43,41,39,38,38,37,35,34,33,32,31,31,31,8,57,34,386,31,0,7,3587,111,625,200,69,84,69,0,0,57,0,0,57,14,8,55,30,55,556,1677,32,55,5454,2587,2304,5964,3450,218,77,141,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,1,5462000,5521999,5462.000,5522.000,afdb,3,3,AFF,AFF,1,-157254324,-52877333,-44006516,54988613,102,47,53,86,2648,227,47,100,1010,95,91,88,80,78,73,68,67,63,61,56,53,49,48,40,21,102,14,107,14,0,0,6293,84,976,161,14,31,14,0,0,102,0,0,102,26,21,100,53,100,1010,3068,10,100,5300,2585,1236,1372,869,194,152,42,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,2,5522000,5581999,5522.000,5582.000,afdb,3,3,AFF,AFF,1,-160121225,-49454127,-10900033,21987425,100,50,48,74,2416,270,50,98,961,94,90,85,80,75,67,63,60,59,57,54,49,47,42,39,18,100,25,223,24,0,5,6230,67,998,148,13,27,13,0,0,100,0,0,100,25,18,98,48,98,961,3098,10,98,4897,2510,1382,2500,878,208,141,67,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,3,5582000,5641999,5582.000,5642.000,afdb,3,3,AFF,AFF,1,-171252729,-27121654,-47928792,47402874,93,41,50,75,2362,82,41,91,944,87,78,77,74,69,69,65,62,59,57,54,53,51,45,44,21,93,8,57,7,0,1,6678,75,888,110,13,49,13,0,0,93,0,0,93,29,21,91,50,91,944,3775,8,91,5494,2655,512,860,1181,169,140,29,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,4,5642000,5701999,5642.000,5702.000,afdb,3,3,AFF,AFF,1,-157731235,-66966845,-32441101,56332906,95,40,53,80,2541,189,41,93,952,90,83,77,74,71,68,65,64,62,59,54,49,46,45,45,17,95,14,128,14,0,0,5773,80,976,115,12,47,12,0,0,95,0,0,95,32,17,93,53,93,952,2813,10,93,5698,2620,1180,1473,1043,181,141,40,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,5,5702000,5761999,5702.000,5762.000,afdb,3,3,AFF,AFF,1,-175963216,-45841422,-41492326,63404122,95,35,58,93,2753,133,35,93,990,90,86,77,72,70,68,67,65,61,60,58,57,55,54,50,19,95,11,104,10,0,2,6264,92,940,139,23,54,23,0,0,95,0,0,95,22,19,93,58,93,990,3093,10,93,6236,2725,972,1157,1654,193,147,46,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,6,5762000,5821999,5762.000,5822.000,afdb,3,3,AFF,AFF,1,-154907289,-69114170,-5720490,29768002,105,55,48,97,3127,399,55,103,1001,99,91,84,82,79,75,69,61,60,57,54,51,49,46,44,16,105,27,311,22,0,6,4935,95,1152,163,14,43,14,0,0,105,0,0,105,16,16,103,48,103,1001,2761,12,103,4660,2487,1857,2571,858,212,143,69,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,7,5822000,5881999,5822.000,5882.000,afdb,3,3,AFF,AFF,1,-153307672,-60632571,-26592201,40725904,107,49,56,118,2986,436,49,105,1067,100,95,93,88,82,81,75,69,66,62,58,55,54,46,43,15,107,24,269,22,0,4,7252,116,1169,139,14,43,14,0,0,107,0,0,107,21,15,105,56,105,1067,3487,10,105,5333,2601,2277,2242,1007,217,153,64,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,8,5882000,5941999,5882.000,5942.000,afdb,3,3,AFF,AFF,1,-159991555,-42861660,-45012436,50781094,97,39,55,108,2662,178,39,95,1047,91,86,84,81,77,77,75,73,69,65,61,59,53,50,46,21,96,26,266,23,0,8,5613,102,934,137,11,44,11,0,0,96,0,0,96,30,21,94,55,95,1047,2458,12,94,5851,2821,1168,2680,802,221,153,68,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,9,5942000,6001999,5942.000,6002.000,afdb,3,3,AFF,AFF,1,-150600939,-47641472,-27018877,29668033,101,48,51,125,3340,412,48,99,1016,92,88,86,83,77,73,70,67,64,60,58,56,50,47,45,20,101,25,231,21,0,9,5641,119,1071,192,18,42,18,0,0,101,0,0,101,17,20,99,51,99,1016,2869,12,99,5151,2627,2197,2475,937,221,148,73,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,10,6002000,6061999,6002.000,6062.000,afdb,3,3,AFF,AFF,1,-128198629,-67635202,-25904360,28189397,101,50,49,137,3796,803,50,99,978,93,87,83,79,73,71,67,64,63,58,54,51,48,46,41,14,101,25,415,19,0,9,2820,128,1421,224,28,46,28,0,0,101,0,0,101,22,14,99,49,99,978,1984,24,99,4949,2528,4111,2475,1250,217,136,81,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,11,6062000,6121999,6062.000,6122.000,afdb,3,3,AFF,AFF,1,-155829376,-52838990,-56104457,65131325,106,55,49,151,4370,405,55,104,981,96,92,86,78,73,71,67,65,61,59,56,49,45,42,41,6,105,20,322,15,0,8,3661,148,1391,190,33,55,33,0,0,105,0,0,105,12,6,104,49,104,981,2355,16,104,4711,2414,1885,1886,1736,204,128,76,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,12,6122000,6181999,6122.000,6182.000,afdb,3,3,AFF,AFF,1,-156115566,-41357849,-52665777,55013485,100,46,52,146,4064,309,45,98,1023,94,88,87,85,80,77,72,68,62,59,57,54,53,47,40,15,99,15,226,10,0,8,5702,145,1357,148,40,61,40,0,0,99,0,0,99,17,15,97,52,98,1023,3033,12,98,5306,2672,1757,1500,2702,220,147,73,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,13,6182000,6241999,6182.000,6242.000,afdb,3,3,AFF,AFF,1,-158384221,-33440997,-38078857,33664748,97,54,41,128,3642,320,54,95,922,90,86,81,79,72,68,64,61,56,52,48,47,41,39,38,13,97,16,244,10,0,6,5395,124,1319,156,29,57,29,0,0,97,0,0,97,28,13,95,41,95,922,2758,12,95,4315,2484,1517,1649,1858,187,126,61,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,14,6242000,6301999,6242.000,6302.000,afdb,3,3,AFF,AFF,1,-160858330,-15201973,-57245125,41008645,97,50,45,98,2821,168,49,95,895,86,82,73,71,66,64,61,59,57,54,47,46,45,43,41,16,97,22,284,15,0,11,5637,98,1175,132,20,48,20,0,0,97,0,0,97,29,16,95,45,95,895,2970,10,95,4736,2411,877,2268,1515,195,127,68,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,15,6302000,6361999,6302.000,6362.000,afdb,3,3,AFF,AFF,1,-192731912,-90220503,-36510923,105441951,163,119,42,150,4005,1459,120,161,1110,147,124,110,98,90,81,70,68,61,49,48,45,44,39,36,7,163,120,1695,109,0,37,17442,123,2240,204,27,41,27,0,0,163,0,0,163,13,7,161,42,161,1110,12751,4,161,2608,1764,3112,7361,1323,432,139,293,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,16,6362000,6421999,6362.000,6422.000,afdb,3,3,AFF,AFF,1,-155143492,-59698933,-29403942,49147009,108,56,50,144,3680,355,55,106,1003,102,94,88,77,74,69,66,63,60,57,56,53,51,48,45,16,108,29,391,21,0,14,3509,137,1316,205,34,63,34,0,0,108,0,0,108,13,16,106,50,106,1003,2547,16,106,4716,2422,1652,2685,1658,238,140,98,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,17,6422000,6481999,6422.000,6482.000,afdb,3,3,AFF,AFF,1,-155390312,-29078518,-40384726,29694999,109,56,51,108,3077,517,56,107,1094,101,97,95,92,88,82,74,71,70,66,63,57,51,46,41,22,109,36,516,27,0,19,6931,102,1420,182,19,42,19,0,0,109,0,0,109,26,22,107,51,107,1094,3840,10,107,4766,2617,2363,3302,1043,262,161,101,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,18,6482000,6541999,6482.000,6542.000,afdb,3,3,AFF,AFF,1,-162284208,-41882958,-39556381,46899157,100,46,52,91,2843,346,46,98,984,93,87,82,79,76,71,68,63,59,58,54,51,49,47,47,8,100,24,345,13,0,12,2313,85,1297,194,16,44,16,0,0,100,0,0,100,10,8,98,52,98,984,1928,16,98,5306,2570,1925,2400,824,201,136,65,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,19,6542000,6601999,6542.000,6602.000,afdb,3,3,AFF,AFF,1,-176133062,-26178967,-43895378,48140253,104,49,53,70,2589,294,49,102,1027,97,96,90,85,80,75,72,67,62,59,54,51,48,47,44,13,104,17,225,11,0,9,4465,65,1060,181,11,34,11,0,0,104,0,0,104,13,13,102,53,102,1027,2457,12,102,5196,2577,1536,1634,607,194,146,48,103,val
37,train,AFF,3,06426,3,1,val/AFF/06426/06426_30min_w003.mem,5402000,7201999,20,6602000,6661999,6602.000,6662.000,afdb,3,3,AFF,AFF,1,-165041672,-73260023,-34623687,68232078,116,63,51,107,3047,515,63,114,1059,105,96,93,88,83,78,72,66,63,61,57,54,50,48,45,14,116,51,557,49,1,8,6991,93,1216,208,27,47,27,0,0,116,0,0,116,23,14,114,51,114,1059,3607,12,114,4473,2378,2092,4396,1298,284,148,136,103,val
