case_id,split,class_label,class_id,record_id,chunk_id,chunk_file,start_sample,end_sample,start_sec,end_sec,source_db,pred_class,pred_label,pred_valid,class_mem_NSR,class_mem_CHF,class_mem_ARR,class_mem_AFF,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,ectopic_pair_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,strong_event_count,adaptive_event_th,pnn_decision_count,pnn_mismatch_rate_bp,rdm_avg_code_q8,ram_avg_code_q8,qrs_maf_rate_bp,rbbb_like_rate_bp,abnormal_evidence_count,rhythm_irregular_evidence_count,morphology_evidence_count
20,train,NSR,0,16265,1824,train/NSR/16265/16265_w01824.mem,54722000,54751999,54722.000,54752.000,nsrdb,0,NSR,1,28431789,-88808009,-29587872,-110502213,34,32,0,68,2019,798,32,32,78,25,19,13,9,6,3,1,1,1,0,0,0,0,0,0,0,34,0,0,0,0,0,2173,68,439,34,0,0,0,0,0,34,0,0,34,5,0,32,0,32,78,1612,16,32,0,624,6384,0,0,6,6,0
22,train,NSR,0,16265,2005,train/NSR/16265/16265_w02005.mem,60152000,60181999,60152.000,60182.000,nsrdb,0,NSR,1,13535658,-90092769,-18590619,-103936553,29,25,2,58,1840,623,25,27,130,24,20,17,13,11,10,9,7,7,6,3,3,0,0,0,0,29,0,0,0,0,0,1948,58,377,29,0,0,0,0,0,29,0,0,29,0,0,27,2,27,130,1398,16,27,740,1232,6379,0,0,13,13,0
24,train,NSR,0,16265,2187,train/NSR/16265/16265_w02187.mem,65612000,65641999,65612.000,65642.000,nsrdb,0,NSR,1,33409813,-83279277,-37418163,-111359998,27,25,0,53,1428,573,25,25,90,21,18,16,12,10,7,5,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1638,53,291,27,0,0,0,0,0,27,0,0,27,0,0,25,0,25,90,1402,12,25,0,921,5867,0,0,10,10,0
26,train,NSR,0,16265,2368,train/NSR/16265/16265_w02368.mem,71042000,71071999,71042.000,71072.000,nsrdb,0,NSR,1,20156316,-90872939,-22311761,-106139663,32,28,2,64,1857,667,28,30,131,27,23,19,14,13,11,8,3,3,3,3,2,2,0,0,0,32,0,0,0,0,0,2131,64,386,32,0,0,0,0,0,32,0,0,32,0,0,30,2,30,131,1516,16,30,666,1117,6098,0,0,15,15,0
28,train,NSR,0,16265,2533,train/NSR/16265/16265_w02533.mem,75992000,76021999,75992.000,76022.000,nsrdb,0,NSR,1,35241629,-80549183,-40849377,-110970727,28,25,1,55,1453,543,25,26,118,22,20,18,17,13,9,8,4,3,2,1,1,0,0,0,0,28,0,0,0,0,0,2248,55,280,28,0,0,0,0,0,28,1,1,28,10,0,26,1,26,118,2041,4,26,384,1161,5560,0,0,14,14,0
30,train,NSR,0,16272,8,train/NSR/16272/16272_w00008.mem,242000,271999,242.000,272.000,nsrdb,2,ARR,1,-25311767,-106592483,-197211,-64341288,40,25,13,65,715,212,25,38,254,32,28,23,19,17,15,14,14,14,13,13,13,13,13,13,7,40,10,8,10,0,0,2136,59,97,47,0,0,0,0,0,40,0,0,40,11,7,38,13,38,254,1720,5,38,3421,1711,2170,2500,0,57,37,20
32,train,NSR,0,16272,72,train/NSR/16272/16272_w00072.mem,2162000,2191999,2162.000,2192.000,nsrdb,0,NSR,1,38186926,-93412587,-35526221,-107173813,26,24,0,51,667,239,24,24,49,16,12,11,7,2,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1527,51,83,26,0,0,0,0,0,26,0,0,26,0,0,24,0,24,49,1413,4,24,0,522,2549,0,0,2,2,0
34,train,NSR,0,16272,121,train/NSR/16272/16272_w00121.mem,3632000,3661999,3632.000,3662.000,nsrdb,2,ARR,1,-19243971,-88898068,-1135269,-87914305,31,24,5,57,769,261,24,29,135,23,20,16,11,8,7,7,7,6,5,5,5,5,5,5,1,31,1,3,1,0,0,1615,57,100,39,0,0,0,0,0,31,0,0,31,4,1,29,5,29,135,1414,6,29,1724,1191,2784,322,0,16,14,2
36,train,NSR,0,16272,170,train/NSR/16272/16272_w00170.mem,5102000,5131999,5102.000,5132.000,nsrdb,0,NSR,1,52780069,-99029581,-50213755,-101861384,29,27,0,57,670,242,27,27,58,19,16,11,5,3,2,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1570,57,87,29,0,0,0,0,0,29,0,0,29,1,0,27,0,27,58,1352,6,27,0,549,2294,0,0,3,3,0
38,train,NSR,0,16272,235,train/NSR/16272/16272_w00235.mem,7052000,7081999,7052.000,7082.000,nsrdb,0,NSR,1,39111144,-102031579,-32233354,-102669925,29,27,0,57,742,278,27,27,52,19,15,9,4,2,2,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1633,57,93,31,0,0,0,0,0,29,0,0,29,1,0,27,0,27,52,1362,6,27,0,493,2635,0,0,2,2,0
40,train,NSR,0,16272,283,train/NSR/16272/16272_w00283.mem,8492000,8521999,8492.000,8522.000,nsrdb,0,NSR,1,53774423,-88079094,-64548081,-99443775,32,30,0,63,770,299,30,30,39,18,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1835,63,101,32,0,0,0,0,0,32,0,0,32,0,0,30,0,30,39,1638,5,30,0,332,2551,0,0,0,0,0
42,train,NSR,0,16272,332,train/NSR/16272/16272_w00332.mem,9962000,9991999,9962.000,9992.000,nsrdb,0,NSR,1,-364095,-43145663,-54180519,-101424246,41,37,2,73,904,349,37,39,86,27,16,10,6,4,3,3,3,2,2,2,2,2,2,2,1,41,5,9,5,0,0,1735,73,132,48,1,1,1,0,0,41,0,0,41,2,1,39,2,39,86,1345,12,39,512,564,2414,1219,208,18,7,11
44,train,NSR,0,16272,397,train/NSR/16272/16272_w00397.mem,11912000,11941999,11912.000,11942.000,nsrdb,0,NSR,1,37746668,-108947317,-27314852,-99912709,31,29,0,61,802,302,28,29,56,23,17,10,4,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1680,59,99,30,0,0,0,0,0,30,0,0,30,0,0,28,0,29,56,1465,6,29,0,494,2761,0,0,2,2,0
46,train,NSR,0,16272,445,train/NSR/16272/16272_w00445.mem,13352000,13381999,13352.000,13382.000,nsrdb,2,ARR,1,-43876126,-98810488,-4599159,-49171014,43,27,14,65,875,261,27,41,277,32,28,24,21,19,17,17,17,16,16,14,14,14,14,14,5,43,10,18,10,0,0,2904,63,125,62,0,0,0,0,0,43,0,0,43,16,5,41,14,41,277,1997,6,41,3414,1729,2474,2325,0,58,38,20
48,train,NSR,0,16272,494,train/NSR/16272/16272_w00494.mem,14822000,14851999,14822.000,14852.000,nsrdb,2,ARR,1,-26373116,-71290559,7705573,-105396756,37,31,4,66,922,341,31,35,153,33,22,19,16,13,10,7,5,4,4,4,4,4,4,4,2,36,15,55,15,0,0,1803,64,132,55,4,4,4,0,0,36,0,0,36,1,2,35,4,35,153,1162,20,35,1142,1119,2816,4054,727,53,19,34
50,train,NSR,0,16272,559,train/NSR/16272/16272_w00559.mem,16772000,16801999,16772.000,16802.000,nsrdb,2,ARR,1,-28692101,-78019051,-18035980,-72563003,35,24,9,61,847,252,24,33,178,21,19,15,13,13,13,11,10,9,9,9,9,9,9,9,1,35,4,3,4,0,0,1833,61,103,39,0,0,0,0,0,35,0,0,35,8,1,33,9,33,178,1537,6,33,2727,1380,2688,1142,0,31,23,8
52,train,NSR,0,16272,607,train/NSR/16272/16272_w00607.mem,18212000,18241999,18212.000,18242.000,nsrdb,0,NSR,1,-2148325,-84373464,-7421147,-102760425,31,26,3,59,803,308,26,29,137,24,23,20,14,11,8,6,6,5,4,4,3,3,3,3,1,31,3,8,3,0,0,1936,59,109,35,0,0,0,0,0,31,0,0,31,2,1,29,3,29,137,1605,6,29,1034,1209,3032,967,0,21,15,6
54,train,NSR,0,16272,656,train/NSR/16272/16272_w00656.mem,19682000,19711999,19682.000,19712.000,nsrdb,2,ARR,1,-46193369,-57389947,-22193726,-55649017,32,19,11,61,1110,379,19,30,214,26,20,17,16,14,14,14,13,13,12,11,11,11,11,11,2,32,28,510,3,0,27,1723,56,564,46,2,2,2,0,0,32,0,0,32,2,2,30,11,30,214,1495,8,30,3666,1826,5106,8750,434,87,27,60
56,train,NSR,0,16272,721,train/NSR/16272/16272_w00721.mem,21632000,21661999,21632.000,21662.000,nsrdb,3,AFF,1,-104593126,-47018674,-38217293,1761037,49,15,32,128,2703,344,15,47,507,38,37,36,35,35,35,34,34,34,34,33,32,32,30,28,12,49,42,923,25,5,31,5308,100,1067,59,11,15,11,0,0,49,0,0,49,30,12,47,32,47,507,4774,4,47,6808,2761,5870,8571,1864,193,79,114
58,train,NSR,0,16272,770,train/NSR/16272/16272_w00770.mem,23102000,23131999,23102.000,23132.000,nsrdb,2,ARR,1,-65357435,-67637404,-20110121,-31380609,44,21,21,103,1867,637,21,42,348,31,29,25,23,23,23,23,23,22,22,22,22,21,20,19,10,43,32,493,21,4,26,3438,83,568,65,7,8,7,0,0,43,0,0,43,15,10,42,21,42,348,3284,6,42,5000,2121,7765,7272,1076,144,54,90
60,train,NSR,0,16273,39,train/NSR/16273/16273_w00039.mem,1172000,1201999,1172.000,1202.000,nsrdb,0,NSR,1,35660391,-90117207,-37104052,-109022116,38,36,0,75,2084,874,35,36,63,25,16,10,6,3,2,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1754,73,379,38,0,0,0,0,0,37,0,0,37,0,0,36,0,36,63,1711,12,36,0,448,6392,0,0,3,3,0
62,train,NSR,0,16273,199,train/NSR/16273/16273_w00199.mem,5972000,6001999,5972.000,6002.000,nsrdb,0,NSR,1,30703694,-90697615,-33860254,-107036047,35,33,0,69,1966,839,33,33,85,27,19,13,9,7,5,3,1,1,0,0,0,0,0,0,0,35,0,0,0,0,0,1435,69,374,51,0,0,0,0,0,35,0,0,35,0,0,33,0,33,85,1121,32,33,0,659,6508,0,0,7,7,0
64,train,NSR,0,16273,375,train/NSR/16273/16273_w00375.mem,11252000,11281999,11252.000,11282.000,nsrdb,0,NSR,1,31794754,-65682095,-62419135,-104693101,45,43,0,89,2522,1030,42,43,49,24,14,8,1,1,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1936,87,517,48,0,0,0,0,0,44,0,0,44,0,0,43,0,43,49,1720,24,43,0,291,6278,0,0,1,1,0
66,train,NSR,0,16273,535,train/NSR/16273/16273_w00535.mem,16052000,16081999,16052.000,16082.000,nsrdb,0,NSR,1,17850090,-88589169,-29476133,-99890107,36,34,0,71,1977,871,34,34,145,28,24,19,17,14,12,9,8,5,5,2,1,1,0,0,0,36,0,0,0,0,0,1850,71,377,50,0,0,0,0,0,36,0,0,36,0,0,34,0,34,145,1695,10,34,0,1091,6558,0,0,14,14,0
68,train,NSR,0,16273,695,train/NSR/16273/16273_w00695.mem,20852000,20881999,20852.000,20882.000,nsrdb,0,NSR,1,28175802,-72703847,-40123921,-114981182,37,35,0,73,2053,873,35,35,83,27,21,17,8,5,2,2,1,0,0,0,0,0,0,0,0,37,4,38,4,0,0,1577,73,395,67,0,0,0,0,0,37,0,0,37,0,0,35,0,35,83,1139,32,35,0,607,6385,1081,0,13,5,8
70,train,NSR,0,16273,870,train/NSR/16273/16273_w00870.mem,26102000,26131999,26102.000,26132.000,nsrdb,0,NSR,1,38984485,-99305216,-30646779,-109345796,32,30,0,63,1792,780,30,30,83,26,21,14,8,6,6,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1637,63,329,64,0,0,0,0,0,32,0,0,32,0,0,30,0,30,83,1530,10,30,0,708,6656,0,0,6,6,0
72,train,NSR,0,16273,1030,train/NSR/16273/16273_w01030.mem,30902000,30931999,30902.000,30932.000,nsrdb,0,NSR,1,31162318,-78881373,-48725546,-105179498,39,37,0,77,2165,925,37,37,46,26,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1545,77,415,43,0,0,0,0,0,39,0,0,39,0,0,37,0,37,46,1160,32,37,0,318,6400,0,0,0,0,0
74,train,NSR,0,16273,1190,train/NSR/16273/16273_w01190.mem,35702000,35731999,35702.000,35732.000,nsrdb,0,NSR,1,36618289,-83874773,-43253627,-109633867,36,34,0,71,2041,852,34,34,64,24,16,11,9,1,1,1,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1919,71,377,38,0,0,0,0,0,36,0,0,36,1,0,34,0,34,64,1729,10,34,0,481,6415,0,0,1,1,0
76,train,NSR,0,16273,1366,train/NSR/16273/16273_w01366.mem,40982000,41011999,40982.000,41012.000,nsrdb,0,NSR,1,37613006,-90243502,-38924818,-108978068,37,35,0,72,2079,910,35,35,65,27,19,13,5,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1649,72,397,37,0,0,0,0,0,37,0,0,37,0,0,35,0,35,65,1423,20,35,0,475,6656,0,0,1,1,0
78,train,NSR,0,16273,1525,train/NSR/16273/16273_w01525.mem,45752000,45781999,45752.000,45782.000,nsrdb,0,NSR,1,36191273,-96797479,-29981316,-109846200,36,34,0,71,2073,879,34,34,98,29,22,19,13,6,4,2,1,1,1,0,0,0,0,0,0,36,0,0,0,0,0,1563,71,422,38,0,0,0,0,0,36,0,0,36,0,0,34,0,34,98,1174,32,34,0,737,6618,0,0,6,6,0
80,train,NSR,0,16273,1685,train/NSR/16273/16273_w01685.mem,50552000,50581999,50552.000,50582.000,nsrdb,0,NSR,1,39237085,-87779937,-41138289,-110225067,36,34,0,71,2060,875,34,34,86,23,21,16,10,9,4,3,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2022,71,399,36,0,0,0,0,0,36,0,0,36,0,0,34,0,34,86,1702,12,34,0,647,6588,0,0,9,9,0
82,train,NSR,0,16273,1861,train/NSR/16273/16273_w01861.mem,55832000,55861999,55832.000,55862.000,nsrdb,0,NSR,1,36140777,-94351111,-33421123,-108987811,37,35,0,73,2075,889,35,35,62,26,16,11,6,2,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1604,73,411,40,0,0,0,0,0,37,0,0,37,0,0,35,0,35,62,1323,24,35,0,453,6502,0,0,2,2,0
84,train,NSR,0,16273,2021,train/NSR/16273/16273_w02021.mem,60632000,60661999,60632.000,60662.000,nsrdb,2,ARR,1,-25300993,-121756346,21750337,-67471854,30,17,11,57,1624,428,17,28,238,27,24,22,21,19,18,17,14,11,11,11,11,11,11,10,5,30,1,6,1,0,0,1446,57,310,57,0,0,0,0,0,30,0,0,30,8,5,28,11,28,238,1333,12,28,3928,2176,6445,333,0,37,35,2
86,train,NSR,0,16273,2181,train/NSR/16273/16273_w02181.mem,65432000,65461999,65432.000,65462.000,nsrdb,2,ARR,1,-23607624,-132362833,32914190,-70032544,29,17,10,57,1443,355,17,27,204,25,22,20,18,15,12,12,10,10,10,10,10,10,10,10,6,29,0,0,0,0,0,1506,57,229,48,0,0,0,0,0,29,0,0,29,18,6,27,10,27,204,1414,8,27,3703,1934,5345,0,0,31,31,0
88,train,NSR,0,16273,2356,train/NSR/16273/16273_w02356.mem,70682000,70711999,70682.000,70712.000,nsrdb,2,ARR,1,-26699958,-136003401,14118358,-44509152,29,15,12,57,1446,324,15,27,240,26,24,21,19,19,16,14,14,14,13,13,13,12,11,11,3,29,0,0,0,0,0,1447,57,231,58,0,0,0,0,0,29,0,0,29,2,3,27,12,27,240,1343,8,27,4444,2275,5529,0,0,34,34,0
90,train,NSR,0,16420,38,train/NSR/16420/16420_w00038.mem,1142000,1171999,1142.000,1172.000,nsrdb,0,NSR,1,51294367,-111976465,-41711414,-96664049,39,37,0,77,1277,555,37,37,72,28,19,12,5,4,3,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1491,77,173,39,0,0,0,0,0,39,0,0,39,0,0,37,0,37,72,1260,16,37,0,498,3840,0,0,4,4,0
92,train,NSR,0,16420,209,train/NSR/16420/16420_w00209.mem,6272000,6301999,6272.000,6302.000,nsrdb,0,NSR,1,51250370,-100041730,-56081158,-93634693,44,42,0,87,1390,627,41,42,67,27,20,13,4,1,1,1,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1465,85,207,46,0,0,0,0,0,43,0,0,43,0,0,42,0,42,67,1326,16,42,0,408,3914,0,0,1,1,0
94,train,NSR,0,16420,396,train/NSR/16420/16420_w00396.mem,11882000,11911999,11882.000,11912.000,nsrdb,0,NSR,1,42903252,-55878782,-82649666,-102730103,40,38,0,78,1277,634,38,38,15,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1861,78,177,40,0,0,0,0,0,40,0,0,40,0,0,38,0,38,15,1607,12,38,0,101,4271,0,0,0,0,0
96,train,NSR,0,16420,567,train/NSR/16420/16420_w00567.mem,17012000,17041999,17012.000,17042.000,nsrdb,0,NSR,1,16341667,-42915382,-80715491,-93105965,54,52,0,107,1620,713,52,52,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1487,107,271,56,0,0,0,0,0,54,0,0,54,0,0,52,0,52,11,1256,24,52,0,54,3510,0,0,0,0,0
98,train,NSR,0,16420,738,train/NSR/16420/16420_w00738.mem,22142000,22171999,22142.000,22172.000,nsrdb,0,NSR,1,31245863,-89125586,-53124483,-89031517,44,42,0,87,1305,572,41,42,55,29,16,8,1,1,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1479,85,170,44,0,0,0,0,0,43,0,0,43,0,0,42,0,42,55,1388,12,42,0,335,3571,0,0,1,1,0
100,train,NSR,0,16420,909,train/NSR/16420/16420_w00909.mem,27272000,27301999,27272.000,27302.000,nsrdb,0,NSR,1,42805165,-107410930,-41567405,-93084828,41,39,0,81,1304,550,39,39,72,29,19,10,5,2,2,2,2,1,0,0,0,0,0,0,0,41,0,0,0,0,0,2240,81,184,41,0,0,0,0,0,41,0,0,41,0,0,39,0,39,72,1994,8,39,0,472,3610,0,0,2,2,0
102,train,NSR,0,16420,1080,train/NSR/16420/16420_w01080.mem,32402000,32431999,32402.000,32432.000,nsrdb,0,NSR,1,45600657,-92609142,-59303022,-93391332,41,39,0,81,1330,585,39,39,45,26,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,2142,81,186,41,0,0,0,0,0,41,0,0,41,0,0,39,0,39,45,1892,8,39,0,295,3840,0,0,0,0,0
104,train,NSR,0,16420,1251,train/NSR/16420/16420_w01251.mem,37532000,37561999,37532.000,37562.000,nsrdb,0,NSR,1,34790347,-121162925,-20628198,-92735164,38,36,0,75,1169,466,36,36,93,34,27,18,9,4,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1498,75,154,38,0,0,0,0,0,38,0,0,38,0,0,36,0,36,93,1281,12,36,0,661,3313,0,0,4,4,0
106,train,NSR,0,16420,1422,train/NSR/16420/16420_w01422.mem,42662000,42691999,42662.000,42692.000,nsrdb,0,NSR,1,34617945,-107230720,-30793007,-95731490,37,35,0,73,1111,452,35,35,74,26,20,13,8,5,1,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1922,73,154,38,0,0,0,0,0,37,0,0,37,0,0,35,0,35,74,1682,8,35,0,541,3306,0,0,5,5,0
108,train,NSR,0,16420,1594,train/NSR/16420/16420_w01594.mem,47822000,47851999,47822.000,47852.000,nsrdb,0,NSR,1,37710839,-93351053,-42448482,-100300033,36,34,0,71,1093,447,34,34,61,20,15,10,7,3,2,2,1,1,0,0,0,0,0,0,0,36,0,0,0,0,0,1280,71,133,45,0,0,0,0,0,36,0,0,36,0,0,34,0,34,61,1167,12,34,0,459,3365,0,0,3,3,0
110,train,NSR,0,16420,1780,train/NSR/16420/16420_w01780.mem,53402000,53431999,53402.000,53432.000,nsrdb,0,NSR,1,46999975,-111203016,-33653524,-100680807,36,34,0,71,1191,541,34,34,107,31,25,23,12,6,3,3,2,1,1,0,0,0,0,0,0,36,0,0,0,0,0,1347,71,160,36,0,0,0,0,0,36,0,0,36,0,0,34,0,34,107,1177,16,34,0,805,4073,0,0,6,6,0
112,train,NSR,0,16420,1951,train/NSR/16420/16420_w01951.mem,58532000,58561999,58532.000,58562.000,nsrdb,0,NSR,1,51971024,-104733332,-40152237,-104952549,35,33,0,69,1136,471,32,33,65,23,17,13,5,4,2,1,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,2054,67,143,34,0,0,0,0,0,34,0,0,34,4,1,32,0,33,65,1913,6,33,0,504,3768,0,0,5,5,0
114,train,NSR,0,16420,2122,train/NSR/16420/16420_w02122.mem,63662000,63691999,63662.000,63692.000,nsrdb,0,NSR,1,40889397,-69692499,-61956463,-106846907,41,37,2,79,1215,539,37,39,111,23,15,14,10,8,8,6,6,5,4,3,3,2,2,2,1,41,1,0,1,0,0,2012,79,163,42,0,0,0,0,0,41,1,1,41,11,1,39,2,39,111,1655,8,39,512,728,3729,243,0,13,11,2
